model,context,depth,layer,lag,cosine_sim
Qwen,prose,middle,12,18,0.766014039516449
Qwen,prose,middle,12,19,0.7764056921005249
Qwen,prose,middle,12,20,0.7551016807556152
Qwen,prose,late,23,1,0.8656835556030273
Qwen,prose,late,23,2,0.8271679282188416
Qwen,prose,late,23,3,0.8065313100814819
Qwen,prose,late,23,4,0.7988588809967041
Qwen,prose,late,23,5,0.7984756231307983
Qwen,prose,late,23,6,0.7971652746200562
Qwen,prose,late,23,7,0.7901104092597961
Qwen,prose,late,23,8,0.7817333340644836
Qwen,prose,late,23,9,0.7702121138572693
Qwen,prose,late,23,10,0.7724332213401794
Qwen,prose,late,23,11,0.7797891497612
Qwen,prose,late,23,12,0.7878069877624512
Qwen,prose,late,23,13,0.7879506945610046
Qwen,prose,late,23,14,0.7770885825157166
Qwen,prose,late,23,15,0.7652705311775208
Qwen,prose,late,23,16,0.7620643377304077
Qwen,prose,late,23,17,0.7662026286125183
Qwen,prose,late,23,18,0.7748120427131653
Qwen,prose,late,23,19,0.7769942879676819
Qwen,prose,late,23,20,0.7666229605674744
Qwen,code,early,0,1,0.9985312223434448
Qwen,code,early,0,2,0.9956693053245544
Qwen,code,early,0,3,0.993198812007904
Qwen,code,early,0,4,0.99251389503479
Qwen,code,early,0,5,0.9934131503105164
Qwen,code,early,0,6,0.9944363236427307
Qwen,code,early,0,7,0.9943322539329529
Qwen,code,early,0,8,0.9931722283363342
Qwen,code,early,0,9,0.9921462535858154
Qwen,code,early,0,10,0.992320716381073
Qwen,code,early,0,11,0.9934663772583008
Qwen,code,early,0,12,0.9943036437034607
Qwen,code,early,0,13,0.993645429611206
Qwen,code,early,0,14,0.9916752576828003
Qwen,code,early,0,15,0.9899243116378784
Qwen,code,early,0,16,0.9898937344551086
Qwen,code,early,0,17,0.9917217493057251
Qwen,code,early,0,18,0.9939130544662476
Qwen,code,early,0,19,0.9945452809333801
Qwen,code,early,0,20,0.9929410219192505
Qwen,code,middle,12,1,0.8893278241157532
Qwen,code,middle,12,2,0.8366310000419617
Qwen,code,middle,12,3,0.8078245520591736
Qwen,code,middle,12,4,0.7978798151016235
Qwen,code,middle,12,5,0.81002277135849
Qwen,code,middle,12,6,0.8114335536956787
Qwen,code,middle,12,7,0.8020265698432922
Qwen,code,middle,12,8,0.7795078158378601
Qwen,code,middle,12,9,0.7580515146255493
Qwen,code,middle,12,10,0.7551636099815369
Qwen,code,middle,12,11,0.7646352052688599
Qwen,code,middle,12,12,0.7810735106468201
Qwen,code,middle,12,13,0.7798881530761719
Qwen,code,middle,12,14,0.7609314918518066
Qwen,code,middle,12,15,0.7443867921829224
Qwen,code,middle,12,16,0.743259072303772
Qwen,code,middle,12,17,0.7647854685783386
Qwen,code,middle,12,18,0.7886121273040771
Qwen,code,middle,12,19,0.7927847504615784
Qwen,code,middle,12,20,0.7777862548828125
Qwen,code,late,23,1,0.8634899854660034
Qwen,code,late,23,2,0.8363240957260132
Qwen,code,late,23,3,0.8217595219612122
Qwen,code,late,23,4,0.8112561106681824
Qwen,code,late,23,5,0.8156124353408813
Qwen,code,late,23,6,0.813504695892334
Qwen,code,late,23,7,0.8140928149223328
Qwen,code,late,23,8,0.8064029216766357
Qwen,code,late,23,9,0.801300048828125
Qwen,code,late,23,10,0.7982934713363647
Qwen,code,late,23,11,0.8000828623771667
Qwen,code,late,23,12,0.8065333962440491
Qwen,code,late,23,13,0.8053525686264038
Qwen,code,late,23,14,0.7947224974632263
Qwen,code,late,23,15,0.7902199029922485
Qwen,code,late,23,16,0.7890804409980774
Qwen,code,late,23,17,0.7972723841667175
Qwen,code,late,23,18,0.8069975972175598
Qwen,code,late,23,19,0.8033447861671448
Qwen,code,late,23,20,0.7982719540596008
