model,method,layer,head,kl_divergence
TinyLlama,delta_int8,11,1,-1.543958205729723e-08
TinyLlama,delta_int8,11,2,7.574271876364946e-09
TinyLlama,delta_int8,11,3,1.4413672033697367e-08
TinyLlama,delta_int8,11,4,2.255546860396862e-09
TinyLlama,delta_int8,11,5,5.573383532464504e-09
TinyLlama,delta_int8,11,6,5.587935447692871e-09
TinyLlama,delta_int8,11,7,1.05355866253376e-08
TinyLlama,delta_int8,11,8,-6.2791514210402966e-09
TinyLlama,delta_int8,11,9,-1.433363649994135e-09
TinyLlama,delta_int8,11,10,1.5636032912880182e-08
TinyLlama,delta_int8,11,11,-4.678440745919943e-09
TinyLlama,delta_int8,11,12,1.2732925824820995e-09
TinyLlama,delta_int8,11,13,-2.342858351767063e-09
TinyLlama,delta_int8,11,14,1.5410478226840496e-08
TinyLlama,delta_int8,11,15,-2.1755113266408443e-09
TinyLlama,delta_int8,11,16,-8.374627213925123e-09
TinyLlama,delta_int8,11,17,-1.2718373909592628e-08
TinyLlama,delta_int8,11,18,-3.9726728573441505e-09
TinyLlama,delta_int8,11,19,-8.003553375601768e-11
TinyLlama,delta_int8,11,20,1.2099917512387037e-08
TinyLlama,delta_int8,11,21,1.0026269592344761e-08
TinyLlama,delta_int8,11,22,-2.86672729998827e-09
TinyLlama,delta_int8,11,23,1.153239281848073e-08
TinyLlama,delta_int8,11,24,1.2441887520253658e-09
TinyLlama,delta_int8,11,25,8.731149137020111e-11
TinyLlama,delta_int8,11,26,8.651113603264093e-09
TinyLlama,delta_int8,11,27,-1.7971615307033062e-09
TinyLlama,delta_int8,11,28,1.2842065189033747e-08
TinyLlama,delta_int8,11,29,-2.7284841053187847e-09
TinyLlama,delta_int8,11,30,2.2118911147117615e-09
TinyLlama,delta_int8,11,31,1.0928488336503506e-08
TinyLlama,delta_int8,12,0,7.690687198191881e-09
TinyLlama,delta_int8,12,1,1.1095835361629725e-08
TinyLlama,delta_int8,12,2,-2.0445440895855427e-09
TinyLlama,delta_int8,12,3,1.2209056876599789e-08
TinyLlama,delta_int8,12,4,4.794856067746878e-09
TinyLlama,delta_int8,12,5,-3.3178366720676422e-09
TinyLlama,delta_int8,12,6,-6.402842700481415e-09
TinyLlama,delta_int8,12,7,-8.680217433720827e-09
TinyLlama,delta_int8,12,8,-3.979948814958334e-09
TinyLlama,delta_int8,12,9,1.068110577762127e-08
TinyLlama,delta_int8,12,10,7.777998689562082e-09
TinyLlama,delta_int8,12,11,3.0850060284137726e-09
TinyLlama,delta_int8,12,12,6.686605047434568e-09
TinyLlama,delta_int8,12,13,-1.4551915228366852e-10
TinyLlama,delta_int8,12,14,5.820766091346741e-10
TinyLlama,delta_int8,12,15,-5.486072041094303e-09
TinyLlama,delta_int8,12,16,7.850758265703917e-09
TinyLlama,delta_int8,12,17,1.5956175047904253e-08
TinyLlama,delta_int8,12,18,2.764863893389702e-09
TinyLlama,delta_int8,12,19,1.4304532669484615e-08
TinyLlama,delta_int8,12,20,-9.189534466713667e-09
TinyLlama,delta_int8,12,21,2.9976945370435715e-09
TinyLlama,delta_int8,12,22,6.155460141599178e-09
TinyLlama,delta_int8,12,23,5.929905455559492e-09
TinyLlama,delta_int8,12,24,-6.330083124339581e-10
TinyLlama,delta_int8,12,25,7.814378477633e-09
TinyLlama,delta_int8,12,26,1.964508555829525e-09
TinyLlama,delta_int8,12,27,-1.8917489796876907e-09
TinyLlama,delta_int8,12,28,-3.6961864680051804e-09
TinyLlama,delta_int8,12,29,-1.5861587598919868e-09
TinyLlama,delta_int8,12,30,1.0186340659856796e-10
TinyLlama,delta_int8,12,31,1.2878444977104664e-09
TinyLlama,delta_int8,13,0,-4.059984348714352e-09
TinyLlama,delta_int8,13,1,5.638867150992155e-09
TinyLlama,delta_int8,13,2,-4.249159246683121e-09
TinyLlama,delta_int8,13,3,6.664777174592018e-09
TinyLlama,delta_int8,13,4,5.908077582716942e-09
TinyLlama,delta_int8,13,5,3.346940502524376e-10
TinyLlama,delta_int8,13,6,6.511982064694166e-09
TinyLlama,delta_int8,13,7,1.2092641554772854e-08
TinyLlama,delta_int8,13,8,3.14321368932724e-09
TinyLlama,delta_int8,13,9,-9.70612745732069e-09
TinyLlama,delta_int8,13,10,6.955815479159355e-09
TinyLlama,delta_int8,13,11,7.654307410120964e-09
TinyLlama,delta_int8,13,12,-1.3504177331924438e-08
TinyLlama,delta_int8,13,13,-6.424670573323965e-09
TinyLlama,delta_int8,13,14,-8.236384019255638e-09
TinyLlama,delta_int8,13,15,-1.8189894035458565e-10
TinyLlama,delta_int8,13,16,6.293703336268663e-09
TinyLlama,delta_int8,13,17,4.409230314195156e-09
TinyLlama,delta_int8,13,18,-1.811713445931673e-09
TinyLlama,delta_int8,13,19,4.8603396862745285e-09
TinyLlama,delta_int8,13,20,-1.1641532182693481e-09
TinyLlama,delta_int8,13,21,9.531504474580288e-09
TinyLlama,delta_int8,13,22,5.5952114053070545e-09
TinyLlama,delta_int8,13,23,-5.893525667488575e-10
TinyLlama,delta_int8,13,24,-7.4214767664670944e-09
TinyLlama,delta_int8,13,25,2.473825588822365e-10
TinyLlama,delta_int8,13,26,1.153239281848073e-08
TinyLlama,delta_int8,13,27,3.9726728573441505e-09
TinyLlama,delta_int8,13,28,-8.43283487483859e-09
TinyLlama,delta_int8,13,29,2.9322109185159206e-09
TinyLlama,delta_int8,13,30,1.0186340659856796e-10
TinyLlama,delta_int8,13,31,4.001776687800884e-10
TinyLlama,delta_int8,14,0,1.3606040738523006e-09
TinyLlama,delta_int8,14,1,4.001776687800884e-09
TinyLlama,delta_int8,14,2,1.4537363313138485e-08
TinyLlama,delta_int8,14,3,-5.682522896677256e-09
TinyLlama,delta_int8,14,4,5.180481821298599e-09
TinyLlama,delta_int8,14,5,1.0848452802747488e-08
TinyLlama,delta_int8,14,6,7.697963155806065e-09
TinyLlama,delta_int8,14,7,3.1141098588705063e-09
TinyLlama,delta_int8,14,8,9.582436177879572e-09
TinyLlama,delta_int8,14,9,-6.693881005048752e-10
TinyLlama,delta_int8,14,10,-7.981725502759218e-09
TinyLlama,delta_int8,14,11,9.604264050722122e-10
TinyLlama,delta_int8,14,12,7.828930392861366e-09
TinyLlama,delta_int8,14,13,4.874891601502895e-09
TinyLlama,delta_int8,14,14,-3.1868694350123405e-09
TinyLlama,delta_int8,14,15,-2.2264430299401283e-09
TinyLlama,delta_int8,14,16,-7.385096978396177e-09
TinyLlama,delta_int8,14,17,3.5943230614066124e-09
TinyLlama,delta_int8,14,18,-4.3655745685100555e-11
TinyLlama,delta_int8,14,19,7.355993147939444e-09
TinyLlama,delta_int8,14,20,-2.9976945370435715e-09
TinyLlama,delta_int8,14,21,-4.380126483738422e-09
TinyLlama,delta_int8,14,22,7.596099749207497e-09
TinyLlama,delta_int8,14,23,1.3475073501467705e-08
TinyLlama,delta_int8,14,24,-4.336470738053322e-09
TinyLlama,delta_int8,14,25,2.2264430299401283e-08
TinyLlama,delta_int8,14,26,-2.8740032576024532e-09
TinyLlama,delta_int8,14,27,9.284121915698051e-09
TinyLlama,delta_int8,14,28,2.459273673593998e-09
TinyLlama,delta_int8,14,29,-4.823959898203611e-09
TinyLlama,delta_int8,14,30,1.758598955348134e-08
TinyLlama,delta_int8,14,31,4.038156475871801e-09
TinyLlama,delta_int8,15,0,-8.476490620523691e-09
TinyLlama,delta_int8,15,1,6.5338099375367165e-09
TinyLlama,delta_int8,15,2,-1.1343217920511961e-08
